filepath,label,width,height,format,mode,aspect_ratio,corrupt,file_hash,phash,siglip_community,siglip_subcommunity
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/18.pexels-photo-5721895.jpeg,Electronic,6016,4016,JPEG,RGB,1.49800796812749,False,47ba4b772dbe0327f36de368b3c9a373,c8f774a1127e096e,0,39
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/344.jpeg,Electronic,1152,864,JPEG,RGB,1.3333333333333333,False,7c631a6b6b02ccffbe92e87f003f6c34,e0c55aa39e78036f,11,44
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Washing_Machine_187.jpg,Electronic,150,150,JPEG,RGB,1.0,False,7c554b43bc7b74f6522cd2927fa0f848,ab742f96d58bc128,3,35
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_236.jpg,Electronic,150,150,JPEG,RGB,1.0,False,028ebc97b6610cca04cc70cb75c2bebb,da9f21339c66b388,5,36
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mobile_48.jpg,Electronic,150,150,JPEG,RGB,1.0,False,34b4c249a108d78b4a9927feb9ee0144,bc34c3cf5ec07434,2,25
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Washing_Machine_70.jpg,Electronic,150,150,JPEG,RGB,1.0,False,99b4ac3b0a48b5d5db38dc519edb349f,ea609e853478e3c7,3,27
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_92.jpg,Electronic,150,150,JPEG,RGB,1.0,False,9d4940cc54152bb640697d9f2f39efba,f8b8c1b49a6759c4,5,26
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/59.unearthed-fortune-in-your-old-tech-find-out-how-yo.jpg,Electronic,1216,832,JPEG,RGB,1.4615384615384615,False,5f3e87a5068540a88dd7a6eb808d7759,9b981f10d1f2c39e,0,14
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/35.computer-recycling-milton-keynes-.jpg,Electronic,1200,800,JPEG,RGB,1.5,False,74f3d4217a738f7f5529e6a744e132be,d943b6b8c1379962,0,0
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/5.Medical-Gaming-Motherboard-Server-PCB-Manufacturing-Scrap-IC-Chip-Recycling-Multilayer-PCB-Prototypes-for-IoT-Applications.jpg,Electronic,300,300,JPEG,RGB,1.0,False,f873a79bab6e39b29b75269e6c295bc2,b8b1c14a37a77239,7,23
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/5.a-broken-computer-on-a-wood-block-floor-2AGGMKM.jpg,Electronic,867,1390,JPEG,RGB,0.6237410071942446,False,84d5c86d613a71271c32eaece635216e,fcb360cd58b52c92,0,43
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Printer_220.jpg,Electronic,150,150,JPEG,RGB,1.0,False,91262958a786b7b3d7ad37ffc7c3f522,c0823b3fe0f437ca,6,6
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/761.jpeg,Electronic,1040,780,JPEG,RGB,1.3333333333333333,False,ca389165f2760deed96e43682db835f0,b5adc9dd2612a24b,5,29
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_99.jpg,Electronic,150,150,JPEG,RGB,1.0,False,afa3303e7bf5bc90097f2fde05c89fd0,e32dc115ccf28e6c,11,41
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mobile_219.jpg,Electronic,150,150,JPEG,RGB,1.0,False,b832495a838aac684be6187626479636,e3579d0e27343331,2,25
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/73.Electronic_20Recycling_20in_20Scottsdale.jpg,Electronic,280,292,JPEG,RGB,0.958904109589041,False,8e80cee2859c6e19c9d376d316a32183,8985fe135b2f482d,0,34
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_25.jpg,Electronic,150,150,JPEG,RGB,1.0,False,9dc6385323866572a50c6548151c3173,b8d2456c2e353b9a,5,36
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/imhjk.jpg,Electronic,1300,954,JPEG,RGB,1.3626834381551363,False,70acd7f0b1d255216e93d9bc2ff4ef71,fe5884039f6ac0bd,0,14
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_273.jpg,Electronic,150,150,JPEG,RGB,1.0,False,a204bc5c4c7de19cc87e9216d33f6d9e,a0d3836c0c773fc3,5,36
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/473.jpg,Electronic,2340,4160,JPEG,RGB,0.5625,False,eb746e35d9e1d14f8eebc2dcbd3d55c7,ab69c51e9e8562b4,1,4
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/e-waste circular economy wide.jpg,Electronic,1500,1000,JPEG,RGB,1.5,False,154224a4dc9d82f0c85cd00fbb2c3409,c9ae0ee6df780072,0,14
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Printer_12.jpg,Electronic,150,150,JPEG,RGB,1.0,False,4df4e833e5167f7b12e263414a5e7aa3,be6c94b434c2d30f,6,6
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Printer_170.jpg,Electronic,150,150,JPEG,RGB,1.0,False,bdedded004c960b0b2ffe09c3df9ebc9,b2e6c5ccd2ab5298,6,6
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Keyboard_147.jpg,Electronic,150,150,JPEG,RGB,1.0,False,ca252d9be38eea96c698c622af57571a,aed0d0272fd8da25,2,5
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/40.fc135a1904e4b003df06fc50d7433cf8.jpg,Electronic,640,360,JPEG,RGB,1.7777777777777777,False,2143b0bff7fb220419ca1cfa8a1daabc,df74e9d226802f8a,0,0
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Printer_240.jpg,Electronic,150,150,JPEG,RGB,1.0,False,82b44b9dbd159b2c792ed87e59cba0b3,e08a2f2ddd9de190,2,40
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Printer_292.jpg,Electronic,150,150,JPEG,RGB,1.0,False,0a81fcd4c6837cbebf35bf6751a6a39a,af12f03fc1b69690,6,53
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/battery_266.jpg,Electronic,150,150,JPEG,RGB,1.0,False,2f9c234953901e1e9d752a283d4e024c,e69999cccc8c9999,12,37
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mobile_122.jpg,Electronic,150,150,JPEG,RGB,1.0,False,a154483b1d0df4530cf7ab7bc87944c1,af3fd5d040c2cb43,2,25
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/pcb_63.jpg,Electronic,150,150,JPEG,RGB,1.0,False,78e4e36fd09d8d3a36abad796f18a1ba,cbdb9077f0256684,7,23
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/17.recyclable-computer-processor-scrap-100-kg-2222426523-gfzyi5j5.jpg,Electronic,600,600,JPEG,RGB,1.0,False,bd0281cbc6ff90fe97a031e3ad57b631,a4a81f96d0d147b7,0,30
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mobile_44.jpg,Electronic,150,150,JPEG,RGB,1.0,False,872a772db739b284e954ff4d7c52db10,e161cece6d25a534,1,16
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Printer_199.jpg,Electronic,150,150,JPEG,RGB,1.0,False,ef8cd68e5c7a1f54dd8bb77f10f54701,ba6a6bc381c1f0cb,6,53
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Keyboard_55.jpg,Electronic,150,150,JPEG,RGB,1.0,False,692b147d938056c585f12a2473a826fe,989f5047623f7a68,2,13
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_240.jpg,Electronic,150,150,JPEG,RGB,1.0,False,f139c76b8af90e3985c20cba14c05ae1,eb4891354cda36cd,5,26
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Microwave_292.jpg,Electronic,150,150,JPEG,RGB,1.0,False,181c5f4effc17eb80222ba73af00fbbd,fb80c4b235bd852d,8,1
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Keyboard_76.jpg,Electronic,150,150,JPEG,RGB,1.0,False,e4df1e943e53e7938784da57db962187,a3e2803f61e8dda5,2,32
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_17.jpg,Electronic,150,150,JPEG,RGB,1.0,False,309edc83cf95e9f62365b4ce8c6d5a77,b4c3c33e0cba8dd1,5,36
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mobile_182.jpg,Electronic,150,150,JPEG,RGB,1.0,False,12d8ddf798e5e9a46523df3f67ee4997,c60f9559662d4ea5,1,9
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_26.jpg,Electronic,150,150,JPEG,RGB,1.0,False,5de7a31054a0315db370c396759243b8,ebcf3520993ba01d,4,12
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/18.Asekol_WEEE_pics.jpg,Electronic,1600,900,JPEG,RGB,1.7777777777777777,False,ed1b50875ef5b2785703dac08fc8a835,ba3131ba3a35a5a6,0,22
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Copy of IMG_20200328_131958.jpg,Electronic,3456,4608,JPEG,RGB,0.75,False,9e0386162f2c9df79f5ff3695fa8e0d6,a8c3c307cb0b2f3d,5,29
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/battery_18.jpg,Electronic,150,150,JPEG,RGB,1.0,False,d73b1d45328ff7086a22aed79eb48bf5,eb9994e25e0db864,13,19
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/25.front-view-of-old-broken-laptop-isolated-KPWDRW.jpg,Electronic,1197,1390,JPEG,RGB,0.8611510791366906,False,d2a61a7247e45b72c29c8a21342191b5,afbf909295c164c5,0,43
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Washing_Machine_249.jpg,Electronic,150,150,JPEG,RGB,1.0,False,cb47ae50073fca036f4b3d4e32c0073b,e5c79a389a6165c6,3,8
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/16.pile-electronic-waste-computer-motherboards-260nw-2650827395.jpg,Electronic,390,280,JPEG,RGB,1.3928571428571428,False,588c4a761f6f5666bb93c849dd4b62b8,f94fc11f823bec20,0,34
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_272.jpg,Electronic,150,150,JPEG,RGB,1.0,False,457c8e5e0117a785df49378fa7f73a5d,e9699696585e4669,4,10
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Microwave_64.jpg,Electronic,150,150,JPEG,RGB,1.0,False,10f39c1c11d38e82049f2b9fc41bff05,ead08e0f8dcb858e,8,1
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mobile_155.jpg,Electronic,150,150,JPEG,RGB,1.0,False,d812689f3e2b3f53aadcd4b99fdfeef3,cc3bd1cecc322c66,1,16
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/IMG_20200329_142649.jpg,Electronic,4608,3456,JPEG,RGB,1.3333333333333333,False,b55723884b347d907db7a6e4ab2e6b1b,8956d19ee6926ec2,10,2
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/253.jpeg,Electronic,1152,864,JPEG,RGB,1.3333333333333333,False,6aa0c292e5fa6614826c576bd98a5692,bddd1c9c69184ab4,10,2
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Player_269.jpg,Electronic,150,150,JPEG,RGB,1.0,False,3c69fefc14d41c61cbd719101851ea96,ea9c95626a9d9562,9,50
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Player_95.jpg,Electronic,150,150,JPEG,RGB,1.0,False,7efb8bc842a39bee1ef19d898858613c,ea7ca9078505f5b2,9,45
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_28.jpg,Electronic,150,150,JPEG,RGB,1.0,False,fd1514d9d8deb0546f7fd89204001699,8dce93834c97713c,4,15
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/pcb_36.jpg,Electronic,150,150,JPEG,RGB,1.0,False,0b611613766eedf1b96f974627627784,91daae3da920d2da,7,7
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Keyboard_179.jpg,Electronic,150,150,JPEG,RGB,1.0,False,8ae9ef1c564974871bc624728f8fc056,eeb5e870a34b950a,2,5
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Keyboard_239.jpg,Electronic,150,150,JPEG,RGB,1.0,False,c98157cb124e17124342de9b6b8b1aed,bfe0c01f3ec09da1,2,5
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Printer_93.jpg,Electronic,150,150,JPEG,RGB,1.0,False,5f74237017329e1db764fb4d05cbb474,ddda5ab8b5312252,6,6
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_69.jpg,Electronic,150,150,JPEG,RGB,1.0,False,b2121ed13df842bcb1617ab1c00de2a7,ffbca1c1c4e2d230,4,12
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_136.jpg,Electronic,150,150,JPEG,RGB,1.0,False,10a7b3ed6e41e5d1177c1172da97725b,fb9da0709cc6916a,5,26
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/pcb_72.jpg,Electronic,150,150,JPEG,RGB,1.0,False,73c4c9f44ebc4678ae283536d0b133be,b173b678974224d3,7,7
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_147.jpg,Electronic,150,150,JPEG,RGB,1.0,False,acf333cddec3bf30d511300f8b5e0871,d26b4d3479d38668,5,3
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/61.nvidia_gtx645de_1gb_gpu_1756211461_4b1f9770_thumbnail.jpg,Electronic,320,314,JPEG,RGB,1.019108280254777,False,28d2ac486ba9a16880a9d6f8ce5376fe,b60afe49b5c5a5c0,0,30
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_23.jpg,Electronic,150,150,JPEG,RGB,1.0,False,6ba43da97b5c694edda7511f24758098,f94616391c8996f3,5,36
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Printer_29.jpg,Electronic,150,150,JPEG,RGB,1.0,False,4e2a4fb20153d9e43fc2d8f68babd994,cc93326c3b783e68,6,52
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/pcb_135.jpg,Electronic,150,150,JPEG,RGB,1.0,False,274c71f2bd2ff02c35bdd4a8b391a38c,81c31e7c1c7f44e3,7,18
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_249.jpg,Electronic,150,150,JPEG,RGB,1.0,False,ababb9d7c66b963d46c62000edbc8995,ce7ff178c4e090c1,4,12
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/battery_144.jpg,Electronic,150,150,JPEG,RGB,1.0,False,da33efd45f1e00cc864c1ac439405c0a,ab30908d8eca6be7,13,19
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/18.jpeg,Electronic,1280,640,JPEG,RGB,2.0,False,7402bd2517d55c2aadcf9b06ffaef61e,9bffd7c4c4c440c8,11,31
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/battery_204.jpg,Electronic,150,150,JPEG,RGB,1.0,False,2f954b70e439b6732d31d35c7695da22,fa8dc56a85cc8695,12,37
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/263.jpeg,Electronic,1152,864,JPEG,RGB,1.3333333333333333,False,10e58454a80dcc08eb8103ceba149871,bf55c24ac16d6856,10,2
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_41.jpg,Electronic,150,150,JPEG,RGB,1.0,False,a3be98c5cd3d9174d74dc467f1a7e528,f456da5a62ca9a89,5,36
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/battery_151.jpg,Electronic,150,150,JPEG,RGB,1.0,False,ff9b2e751a0e220ce246573254bb9b55,bec0c93f64cd0972,14,24
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/pcb_47.jpg,Electronic,150,150,JPEG,RGB,1.0,False,1354cae567fb1fe96103871dfc97d39d,a77abb16c80a9e49,7,18
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_58.jpg,Electronic,150,150,JPEG,RGB,1.0,False,5118b405c76e712b9fa3851b2967814f,94bc63576a461f45,4,12
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/816.jpeg,Electronic,720,1280,JPEG,RGB,0.5625,False,e82e90ae245a65697a0bb1f101044455,e15f9ea081f3d88c,5,29
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mobile_150.jpg,Electronic,150,150,JPEG,RGB,1.0,False,7edd3c01581df123f961b77fe2a271cc,dce76399c82427d8,1,16
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Keyboard_129.jpg,Electronic,150,150,JPEG,RGB,1.0,False,fe73117b65cdda8a462e6bebdeb08464,e9a612b636b907c9,2,5
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_253.jpg,Electronic,150,150,JPEG,RGB,1.0,False,bcd2c522eb0892ba7d6d6b1dbbcc66ad,be8de07a956295e0,4,10
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mouse_275.jpg,Electronic,150,150,JPEG,RGB,1.0,False,5d05861af699354e86f2ad3d5b083614,b04f4f3491b78f30,5,36
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mobile_200.jpg,Electronic,150,150,JPEG,RGB,1.0,False,b3c30508741e8cf82b550ee0672d6f8d,f62049db3e6520de,1,16
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_15.jpg,Electronic,150,150,JPEG,RGB,1.0,False,7919881b304c99f148056f08b110693a,989843878f5ebc3c,4,12
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Keyboard_99.jpg,Electronic,150,150,JPEG,RGB,1.0,False,4f512ef8738c51c8d2bbdc713888c009,eab5854a3f95ca60,2,5
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Mobile_65.jpg,Electronic,150,150,JPEG,RGB,1.0,False,2d1783a63c01021852906d5f9962f9b0,aa2bd5d5508056df,1,9
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Microwave_150.jpg,Electronic,150,150,JPEG,RGB,1.0,False,1225758fb422907a4d447f13116d6f1e,af92d0642f1f38d2,8,1
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Keyboard_269.jpg,Electronic,150,150,JPEG,RGB,1.0,False,8c3e31cda8ba34ccf52dd196b19a1bf2,bf9dc4854564aea2,2,13
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/335.jpeg,Electronic,1152,864,JPEG,RGB,1.3333333333333333,False,60ea1078c8b8e5511fd3779f3402d3da,b939baf1101281ff,11,31
